Daniel Day-Lewis	Typical Activity	performing serious acting
Daniel Day-Lewis	Typical Activity	winning Oscars
Daniel Day-Lewis	Vehicle of Choice	Lincoln towncar
Daniel Day-Lewis	Weapon of Choice	Oscar statuette
Daniel Day-Lewis	Seen Wearing	stove-pipe hat
Daniel Day-Lewis	Domains	Acting
Daniel Day-Lewis	Domains	Hollywood
Daniel Day-Lewis	Domains	Serious Acting
Daniel Day-Lewis	Genres	movies
Daniel Day-Lewis	Category	Actor
Daniel Day-Lewis	Negative Talking Points	obsessive
Daniel Day-Lewis	Negative Talking Points	overzealous
Daniel Day-Lewis	Negative Talking Points	over-serious
Daniel Day-Lewis	Positive Talking Points	dedicated
Daniel Day-Lewis	Positive Talking Points	talented
Daniel Day-Lewis	Positive Talking Points	versatile
Daniel Day-Lewis	Positive Talking Points	dramatic
Daniel Day-Lewis	Positive Talking Points	convincing
Tina Fey	Typical Activity	writing comedy
Tina Fey	Vehicle of Choice	New York taxicab
Tina Fey	Weapon of Choice	pepper spray
Tina Fey	Domains	Comedy
Tina Fey	Genres	television
Tina Fey	Creation	Liz Lemon
Tina Fey	Group Affiliation	Saturday Night Live
Tina Fey	Category	Actress
Tina Fey	Category	Comedian
Tina Fey	Negative Talking Points	bossy
Tina Fey	Negative Talking Points	sarcastic
Tina Fey	Negative Talking Points	passive-aggressive
Tina Fey	Positive Talking Points	funny
Tina Fey	Positive Talking Points	witty
Tina Fey	Positive Talking Points	self-deprecating
Tina Fey	Positive Talking Points	entertaining
Abraham Lincoln	Opponent	John Wilkes Booth
Abraham Lincoln	Typical Activity	fighting for civil rights
Abraham Lincoln	Typical Activity	fighting civil wars
Abraham Lincoln	Vehicle of Choice	horse-drawn carriage
Abraham Lincoln	Weapon of Choice	woodsman's axe
Abraham Lincoln	Seen Wearing	stove-pipe hat
Abraham Lincoln	Domains	American politics
Abraham Lincoln	Genres	politics
Abraham Lincoln	Portrayed By	Daniel Day-Lewis
Abraham Lincoln	Portrayed By	Henry Fonda
Abraham Lincoln	Creation	Gettysberg address
Abraham Lincoln	Group Affiliation	The Republican Party
Abraham Lincoln	Category	President
Abraham Lincoln	Category	Political Leader
Abraham Lincoln	Negative Talking Points	stern
Abraham Lincoln	Negative Talking Points	lanky
Abraham Lincoln	Negative Talking Points	ugly
Abraham Lincoln	Positive Talking Points	wise
Abraham Lincoln	Positive Talking Points	erudite
Abraham Lincoln	Positive Talking Points	farseeing
Abraham Lincoln	Positive Talking Points	eloquent
John Wilkes Booth	Opponent	Abraham Lincoln
John Wilkes Booth	Typical Activity	assassinating presidents
John Wilkes Booth	Vehicle of Choice	horse
John Wilkes Booth	Vehicle of Choice	horse-drawn carriage
John Wilkes Booth	Weapon of Choice	flintlock muff pistol
John Wilkes Booth	Seen Wearing	stove-pipe hat
John Wilkes Booth	Domains	American politics
John Wilkes Booth	Genres	politics
John Wilkes Booth	Creation	Lincoln assassination
John Wilkes Booth	Category	Assassin
John Wilkes Booth	Negative Talking Points	murderous
John Wilkes Booth	Negative Talking Points	vengeful
John Wilkes Booth	Negative Talking Points	bitter
John Wilkes Booth	Negative Talking Points	violent
John Wilkes Booth	Negative Talking Points	unbalanced
John Wilkes Booth	Negative Talking Points	deranged
John Wilkes Booth	Positive Talking Points	principled
John Wilkes Booth	Positive Talking Points	decisive
John Wilkes Booth	Positive Talking Points	committed
Adam Sandler	Typical Activity	making dumb comedies
Adam Sandler	Vehicle of Choice	Tesla Roadster
Adam Sandler	Weapon of Choice	bad jokes
Adam Sandler	Domains	Comedy
Adam Sandler	Genres	movies
Adam Sandler	Creation	The Zohan
Adam Sandler	Category	Actor
Adam Sandler	Category	Comedian
Adam Sandler	Negative Talking Points	irritating
Adam Sandler	Negative Talking Points	vulgar
Adam Sandler	Negative Talking Points	juvenile
Adam Sandler	Negative Talking Points	crass
Adam Sandler	Negative Talking Points	profane
Adam Sandler	Positive Talking Points	funny
Adam Sandler	Positive Talking Points	entertaining
Adam Smith	Opponent	Karl Marx
Adam Smith	Typical Activity	promoting capitalism
Adam Smith	Vehicle of Choice	horse-drawn carriage
Adam Smith	Weapon of Choice	invisible hand
Adam Smith	Domains	Capitalism
Adam Smith	Genres	science
Adam Smith	Genres	philosophy
Adam Smith	Genres	economics
Adam Smith	Creation	Capitalism
Adam Smith	Category	Economist
Adam Smith	Negative Talking Points	calculating
Adam Smith	Negative Talking Points	uncaring
Adam Smith	Negative Talking Points	cold
Adam Smith	Positive Talking Points	insightful
Adam Smith	Positive Talking Points	systematic
Adam West	Opponent	The Joker
Adam West	Typical Activity	wearing tights
Adam West	Vehicle of Choice	Batmobile
Adam West	Weapon of Choice	judo chop
Adam West	Seen Wearing	Batman costume
Adam West	Domains	Comedy
Adam West	Genres	television
Adam West	Fictional World	Family Guy
Adam West	Category	Actor
Adam West	Negative Talking Points	wooden
Adam West	Negative Talking Points	unconvincing
Adam West	Negative Talking Points	self-parodying
Adam West	Positive Talking Points	entertaining
Adam West	Positive Talking Points	comedic
Adam West	Positive Talking Points	humorous
The Joker	Opponent	Batman
The Joker	Typical Activity	causing mayhem
The Joker	Typical Activity	spreading fear
The Joker	Typical Activity	laughing maniacally
The Joker	Vehicle of Choice	Jokermobile
The Joker	Weapon of Choice	smilex gas
The Joker	Weapon of Choice	lethal joy buzzer
The Joker	Weapon of Choice	exploding whoopee cushion
The Joker	Weapon of Choice	Titan dart gun
The Joker	Seen Wearing	purple topcoat
The Joker	Seen Wearing	white face makeup
The Joker	Seen Wearing	green wig
The Joker	Domains	DC Comics
The Joker	Domains	Gotham City
The Joker	Genres	crime
The Joker	Genres	terrorism
The Joker	Portrayed By	Jack Nicholson
The Joker	Portrayed By	Heath Ledger
The Joker	Creator	Bob Kane
The Joker	Creation	Joker gas
The Joker	Group Affiliation	Secret Society of Super Villains
The Joker	Fictional World	The Dark Knight Rises
The Joker	Fictional World	DC Comics
The Joker	Category	Maniac
The Joker	Category	Madman
The Joker	Category	Criminal
The Joker	Category	Terrorist
The Joker	Category	Clown
The Joker	Negative Talking Points	maniacal
The Joker	Negative Talking Points	cruel
The Joker	Negative Talking Points	sadistic
The Joker	Negative Talking Points	inhuman
The Joker	Negative Talking Points	homicidal
The Joker	Negative Talking Points	murderous
The Joker	Positive Talking Points	playful
The Joker	Positive Talking Points	witty
The Joker	Positive Talking Points	flamboyant
The Joker	Positive Talking Points	cunning
The Joker	Positive Talking Points	brilliant
The Joker	Positive Talking Points	humorous
The Joker	Positive Talking Points	creative
The Joker	Positive Talking Points	gleeful
Al Bundy	Opponent	Peggy Bundy
Al Bundy	Typical Activity	watching TV
Al Bundy	Vehicle of Choice	old banger
Al Bundy	Weapon of Choice	head butt
Al Bundy	Domains	Family life
Al Bundy	Domains	Comedy
Al Bundy	Genres	television
Al Bundy	Portrayed By	Ed O'Neill
Al Bundy	Fictional World	Married With Children
Al Bundy	Category	Father
Al Bundy	Negative Talking Points	crass
Al Bundy	Negative Talking Points	uneducated
