Daniel Day-Lewis	Daniel Day-Lewis	male	Sugarloaf Mountain	Wicklow	Ireland	left	married	NA
Tina Fey	Tina Fey	female	Rockerfeller Center	New York City	USA	left	married	NA
Abraham Lincoln	Abraham Lincoln	male	White House	Washington D.C.	USA	moderate	married	NA
John Wilkes Booth	John Wilkes-Booth	male	Ford Theatre	Washington D.C.	USA	right	NA	NA
Adam Sandler	Adam Sandler	male	Beverly Hills	California	USA	left	NA	NA
Adam Smith	Adam Smith	male	Kirkcaldy	Scotland	UK	right	NA	NA
Adam West	Adam West	male	Wayne Mansion	Gotham City	USA	NA	NA	NA
The Joker	Joe Kerr	male	Arkham Asylum	Gotham City	USA	libertarian	dating Harley Quinn	fictional
Al Bundy	Al Bundy	male	Chicago	Illinois	USA	NA	married	NA
Al Capone	Al Capone	male	Chicago	Illinois	USA	right	NA	NA
Eliot Ness	Eliot Ness	male	Chicago	Illinois	USA	right	married	NA
Al Gore	Al Gore	male	Carthage	Tennessee	USA	left	divorced	NA
Al Pacino	Al Pacino	male	Beverly Hills	California	USA	left	NA	NA
Alan Greenspan	Alan Greenspan	male	Federal Reserve	New York City	USA	right	married	NA
Alan Sugar	Alan Sugar	male	Tottenham	London	UK	right	married	NA
Albert Einstein	Albert Einstein	male	Princeton	New Jersey	USA	left	married	NA
Alec Baldwin	Alec Baldwin	male	Rockerfeller Center	New York City	USA	left	married	NA
Alfred Hitchcock	Alfred Hitchcock	male	Bates Motel	California	USA	NA	married	NA
Allan Quatermain	Allan Quatermain	male	Garrick Club	London	UK	NA	NA	fictional
Andrew Lloyd Webber	Andrew Lloyd-Webber	male	The West End	London	UK	right	married	NA
Andy Warhol	Andy Warhol	male	The Factory	New York City	USA	NA	NA	NA
Angelina Jolie	Angelina Jolie	female	Beverly Hills	California	USA	left	married to Brad Pitt	NA
Ann Coulter	Ann Coulter	female	NA	Washington D.C.	USA	right	NA	NA
Anna Karenina	Anna Karenina	female	NA	Moscow	Russia	NA	married	fictional
Emma Bovary	Emma Bovary	female	Rouen	Normandy	France	NA	married	fictional
Anthony Bourdain	Anthony Bourdain	male	JFK Airport	New York City	USA	NA	NA	NA
Anton Chekov	Anton Chekov	male	NA	Moscow	Russia	NA	NA	NA
Antonio Vivaldi	Antonio Vivaldi	male	Hotel Sacher	Vienna	Austria	NA	NA	NA
Archie Bunker	Archie Bunker	male	Jackson Heights	New York City	USA	right	married	fictional
Ariel Sharon	Ariel Sharon	male	Mount of Olives	Tel Aviv	Israel	right	NA	NA
Aristotle	Aristotle	male	The Agora	Athens	Greece	NA	NA	NA
Arnold Schwarzenegger	Arnold Schwarzenegger	male	Sacramento	California	USA	right	divorced from Maria Shriver	NA
Arthur Conan Doyle	Arthur Conan Doyle	male	The Strand	London	UK	NA	married	NA
Atticus Finch	Atticus Finch	male	Maycomb County	Alabama	USA	left	widowed	fictional
Audrey Hepburn	Audrey Hepburn	female	Tiffany's 5th Avenue	New York City	USA	left	married	NA
Aung San Suu Kyi	Aung-San Suu-Kyi	female	NA	Rangoon	Burma	left	NA	NA
Austin Powers	Austin Powers	male	Mayfair	London	UK	NA	single	fictional
Ayn Rand	Ayn Rand	female	Upper East Side	New York City	USA	right	single	NA
Babe Ruth	Babe Ruth	male	Baltimore	Maryland	USA	NA	NA	NA
Barack Obama	Barack Obama	male	White House	Washington D.C.	USA	left	married to Michelle Obama	NA
Barry White	Barry White	male	Galveston	Texas	USA	NA	NA	NA
Bart Simpson	Bart Simpson	male	Springfield	NA	USA	libertarian	single	fictional
Basil Fawlty	Basil Fawlty	male	Fatty Owls Hotel	Torquay	UK	right	married to Cybil Fawlty	fictional
Bear Grylls	Bear Grylls	male	Surbiton	London	UK	NA	married	NA
Ben Affleck	Ben Affleck	male	Falmouth	Massachusetts	USA	left	married to Jennifer Garner	NA
Benedict Arnold	Benedict Arnold	male	Boston	Massachusetts	USA	NA	NA	NA
Benjamin Franklin	Benjamin Franklin	male	Philadelphia	Pennsylvania	USA	NA	NA	NA
Benny Hill	Benny Hill	male	Teddington	London	UK	NA	single	NA
Bertie Wooster	Bertie Wooster	male	Mayfair	London	UK	right	single	fictional
Reginald Jeeves	Reginald Jeeves	male	Mayfair	London	UK	right	single	fictional
Bill Clinton	Bill Clinton	male	Little Rock	Arkansas	USA	left	married to Hillary Clinton	NA
Bill Cosby	Bill Cosby	male	Philadelphia	Pennsylvania	USA	left	married	NA
Bill Gates	Bill Gates	male	Seattle	Washington State	USA	NA	married to Melinda Gates	NA
Bill Murray	Bill Murray	male	Wilmette	Illinois	USA	left	NA	NA
Billy Bob Thornton	Billy-Bob Thornton	male	Hot Springs	Arkansas	USA	left	divorced from Angelina Jolie	NA
Billy Crystal	Billy Crystal	male	East Park Avenue	New York City	USA	left	married	NA
Bing Crosby	Bing Crosby	male	Spokane	Washington State	USA	right	married	NA
Bob Dylan	Bob Dylan	male	Duluth	Minnesota	USA	left	NA	NA
Leonard Cohen	Leonard Cohen	male	Westmount	Quebec	Canada	left	single	NA
Bob Marley	Bob Marley	male	Kingston	Jamaica	Carribean	left	NA	NA
Boba Fett	Boba Fett	male	Sarlaac Pit	NA	Tatooine	right	single	fictional
Bobby Fischer	Bobby Fischer	male	Chicago	Illinois	USA	right	single	NA
Bono	Bono Hewson	male	Howth	Dublin	Ireland	left	married	NA
Brad Pitt	Brad Pitt	male	Beverly Hills	California	USA	left	married to Angelina Jolie	NA
Brian Wilson	Brian Wilson	male	Inglewood	California	USA	NA	NA	NA
Bridget Jones	Bridget Jones	female	Bedale Street	London	UK	left	single	fictional
Britney Spears	Britney Spears	female	McComb	Mississippi	USA	NA	divorced	NA
Bruce Lee	Bruce Lee	male	Chinatown	California	USA	NA	married	NA
Bruce Springsteen	Bruce Springsteen	male	Freehold	New Jersey	USA	left	married	NA
Bruce Wayne	Bruce Wayne	male	Wayne Mansion	Gotham City	USA	right	single	fictional
Commissioner James Gordon	James Gordon	male	Gotham Central	Gotham City	USA	right	married to Barbara Gordon	fictional
Harvey Dent	Harvey Dent	male	Gotham Courthouse	Gotham City	USA	right	divorced from Gilda Dent	fictional
Batman	Bruce Wayne	male	The Batcave	Gotham City	USA	right	dating Catwoman	fictional
Catwoman	Selina Kyle	female	NA	Gotham City	USA	right	dating Batman	fictional
Buck Rogers	Buck Rogers	male	NA	NA	NA	NA	single	fictional
Buddha	Buddha	male	Kapilavastu	Nepal	Indian Sub-continent	left	single	NA
Buzz Aldrin	Buzz Aldrin	male	Montclair	New Jersey	USA	NA	married	NA
Buzz Lightyear	Buzz Lightyear	male	Andy's Room	Everytown	USA	NA	single	fictional
Emperor Caligula	Caligula	male	Capitoline Hill	Rome	Italy	right	single	NA
Cameron Diaz	Cameron Diaz	female	Beverly Hills	California	USA	NA	single	NA
Captain Ahab	Jonas Ahab	male	Lenox	Massachusetts	USA	NA	single	fictional
Cardinal Richelieu	Armand Richelieu	male	Palais Cardinale	Paris	France	right	single	NA
Carl Lewis	Carl Lewis	male	Birmingham	Alabama	USA	NA	NA	NA
Carl Sagan	Carl Sagan	male	Brooklyn	New York City	USA	NA	NA	NA
Stephen Jay Gould	Stephen Jay-Gould	male	Queens	New York City	USA	left	married	NA
Carrie Bradshaw	Carrie Bradshaw	female	Manhattan	New York City	USA	left	married to Mr. Big	fictional
Enrico Caruso	Enrico Caruso	male	Piazza Ottocalli	Naples	Italy	NA	NA	NA
Cary Grant	Cary Grant	male	Beverly Hills	California	USA	NA	married	NA
